Hospital Name,City,State,ZIP Code,County Name,Phone Number,MortalityRanked,PatientRanked,PSIRanked,SpendingRanked
MAYO CLINIC HOSPITAL,PHOENIX,AZ,85054,MARICOPA,4803424201,8.76650581595,7.80422856716,7.07933446097,8.04804690356
MARINERS HOSPITAL,TAVERNIER,FL,33070,MONROE,3054343000,5.24219800978,8.68556725736,6.32627180298,9.91262245927
CITIZENS MEDICAL CENTER,COLUMBIA,LA,71418,CALDWELL,3186496106,5.82286382959,9.2829574464,6.4713864257,8.53336946434
MAYO CLINIC HOSPITAL ROCHESTER,ROCHESTER,MN,55902,OLMSTED,5072555123,7.83246483619,7.4886425029,6.93729202442,7.73287755202
CLEVELAND CLINIC,CLEVELAND,OH,44195,CUYAHOGA,2164442200,7.19715092999,7.49356495483,8.18084467876,7.05868898952
MERCY HOSPITAL,IOWA CITY,IA,52245,JOHNSON,3193390300,7.70940873487,5.51752771096,7.77226689134,8.88026769726
JAY HOSPITAL,JAY,FL,32565,SANTA ROSA,8506754532,5.51589188585,7.63854718861,6.6007448382,10
DOYLESTOWN HOSPITAL,DOYLESTOWN,PA,18901,BUCKS,2153452200,7.03884101534,6.06510264754,7.94401980943,8.54384797359
KIMBLE HOSPITAL,JUNCTION,TX,76849,KIMBLE,3254463321,5.17782624233,8.97737273996,6.32627180298,9.04339667265
PENINSULA REGIONAL MEDICAL CENTER,SALISBURY,MD,21801,WICOMICO,4105437111,7.460935707,5.80885022937,8.3846782775,7.79828223403
"DELAWARE VALLEY HOSPITAL, INC",WALTON,NY,13856,DELAWARE,6078652188,5.41020471071,9.37025722738,6.32627180298,8.34194116541
SANTA YNEZ VALLEY COTTAGE HOSPITAL,SOLVANG,CA,93463,SANTA BARBARA,8056886431,4.46541974994,10,6.32627180298,8.65609525226
EMORY JOHNS CREEK HOSPITAL,JOHNS CREEK,GA,30097,CHATTOOGA,6784747000,8.31982338912,5.44633740395,7.92729900562,7.57707406012
O'CONNOR HOSPITAL,DELHI,NY,13753,DELAWARE,6077460300,5.62451708614,7.91938656068,7.81573605217,7.90595426117
SAINT MARY'S REGIONAL MEDICAL CENTER,RENO,NV,89503,WASHOE,7757703000,5.68877185207,4.86506695041,10,8.70919263623
RUSH UNIVERSITY MEDICAL CENTER,CHICAGO,IL,60612,COOK,3129425000,7.89668967011,5.58481608604,8.01499425788,7.73503997005
MILLS-PENINSULA MEDICAL CENTER,BURLINGAME,CA,94010,SAN MATEO,6506965270,7.27857047176,6.75423778688,6.7876949911,8.30027949364
FAIRVIEW HOSPITAL,CLEVELAND,OH,44111,CUYAHOGA,2164767000,8.70893572509,5.50422682421,7.62979795752,7.1053053579
"ARKANSAS HEART HOSPITAL, LLC",LITTLE ROCK,AR,72211,PULASKI,5012197000,6.54366344558,7.36067845853,7.49295895151,7.51040966764
WEST KENDALL BAPTIST HOSPITAL,MIAMI,FL,33196,MIAMI-DADE,7864672011,6.37334441506,7.23469659067,6.09441024127,9.17103936234
VIRGINIA MASON MEDICAL CENTER,SEATTLE,WA,98101,KING,2062236600,7.20795859472,6.12826296801,8.20341403655,7.31443775786
HILL COUNTRY MEMORIAL HOSPITAL INC,FREDERICKSBURG,TX,78624,GILLESPIE,8309974353,5.94539117271,7.57137436192,7.28055403854,7.95072701388
W J MANGOLD MEMORIAL HOSPITAL,LOCKNEY,TX,79241,FLOYD,8066523373,5.43418201613,8.02009724853,6.32627180298,8.96007272917
UNIVERSITY OF MARYLAND ST JOSEPH MEDICAL CENTER,TOWSON,MD,21204,BALTIMORE,4103371000,6.49114000351,6.87082772767,7.29417239157,8.03046327607
MAIN LINE HOSPITAL LANKENAU,WYNNEWOOD,PA,19096,MONTGOMERY,6106452000,8.93758888066,5.6911669087,6.73213997524,7.32371520138
HOLLAND COMMUNITY HOSPITAL,HOLLAND,MI,49423,OTTAWA,6163925141,6.85629466057,6.53730431228,7.43140923479,7.8431071778
HARDIN MEMORIAL HOSPITAL,KENTON,OH,43326,HARDIN,4196730761,5.54446287669,7.41877780706,6.48320051024,9.20619473308
"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC",ATLANTA,GA,30342,FULTON,6788435720,7.00692978363,5.32667796752,8.80119277581,7.45546614262
HAMILTON GENERAL HOSPITAL,HAMILTON,TX,76531,HAMILTON,2543863151,5.49358666262,7.6760763688,6.25810994184,9.15869899443
CHRIST HOSPITAL,CINCINNATI,OH,45219,HAMILTON,5135852000,6.48441253586,6.23714087233,8.77285065982,7.05148259441
"CALDWELL MEMORIAL HOSPITAL, INC",COLUMBIA,LA,71418,CALDWELL,3186496111,6.2471394406,6.66540727453,6.44576087337,9.17834182681
"DEWITT HOSPITAL & NURSING HOME, INC",DE WITT,AR,72042,ARKANSAS,8709463571,5.45702663735,8.09359250665,6.32627180298,8.65622649063
SETON SMITHVILLE REGIONAL HOSPITAL,SMITHVILLE,TX,78957,BASTROP,5122373214,5.80704941478,8.02009724853,6.22302502267,8.4776946564
"OKLAHOMA HEART HOSPITAL, LLC",OKLAHOMA CITY,OK,73120,OKLAHOMA,4056083200,6.80533185552,7.8314361921,6.13541587818,7.74465698279
CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP,SAN FRANCISCO,CA,94115,SAN FRANCISCO,4156006000,6.4890634309,5.18370768376,8.38585132627,8.45116339128
BAPTIST EMERGENCY HOSPITAL,SAN ANTONIO,TX,78232,BEXAR,2104024092,5.65912013495,7.63120408014,6.21364621822,8.96412632642
ANSON GENERAL HOSPITAL,ANSON,TX,79501,JONES,3258233231,5.20158324372,7.81069323478,6.24156108502,9.19180337197
SCRIPPS GREEN HOSPITAL,LA JOLLA,CA,92037,SAN DIEGO,8584559100,7.70820024394,7.02347151884,6.55812575825,7.1377978825
BRIGHAM AND WOMEN'S FAULKNER HOSPITAL,BOSTON,MA,2130,SUFFOLK,6179837000,6.9243616956,6.18834836852,6.98223005238,8.32032254488
ST JOSEPH'S HOSPITAL HEALTH CENTER,SYRACUSE,NY,13203,ONONDAGA,3154485111,7.69682813696,6.28902673935,6.64662141795,7.77916674745
FRESNO SURGICAL HOSPITAL,FRESNO,CA,93710,FRESNO,5594318000,5.33371828725,8.77349077661,7.85618049149,6.44801075043
TWIN CITIES HOSPITAL,NICEVILLE,FL,32578,OKALOOSA,8506784131,5.77946864315,7.27956887933,7.15428227987,8.17655683697
CHESTER COUNTY HOSPITAL,WEST CHESTER,PA,19380,CHESTER,6104315000,8.40845295557,6.67835725924,6.76346531639,6.53889373378
MERCY HOSPITAL,COON RAPIDS,MN,55433,ANOKA,7622368100,6.43978894372,6.24717584996,8.14821853705,7.50812810449
MERCY HOSPITAL,MOOSE LAKE,MN,55767,CARLTON,2184854481,6.43978894372,6.24717584996,8.14821853705,7.50812810449
LAIRD HOSPITAL INC,UNION,MS,39365,NESHOBA,6017748214,5.96672429667,8.64958902801,6.32627180298,7.39319211989
